name,location,phone,email,website,curriculum,languages,age_groups,schools_served
$10 a Day ChildCareBC Centre - Waterfront Children's Centre (Infant/Toddler),505-1067 West Cordova Street,604-718-6555,info@vsocc.org,vsocc.org,Play Based,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Waverley School-Age Care (School Age Care on School Grounds),6111 Elliott Street,604-324-6212,zohreh.pezhman@southvan.org,,,English,5 - 12 yrs,Waverley
$10 a Day ChildCareBC Centre - Wesbrook YMCA Child Care (0-3 GDC),3335 Webber Lane,604-416-3250,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Wesbrook YMCA Child Care (3-5 GDC),3335 Webber Lane,604-416-3250,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - WEST Village Children's Centre (3-5 Program),131 West 2nd Avenue,604-718-6555,info@vsocc.org,vsocc.org,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - WEST Village Children's Centre (Infant/Toddler),131 West 2nd Avenue,604-718-6555,info@vsocc.org,vsocc.org,,English,0 - 18 mo; 19 - 36 mo,
$10 a Day ChildCareBC Centre - Willow Child Care Centre (Infant/Toddler),2845 Revelstoke Ct,604-822-5343,childcare@housing.ubc.ca,,,English,19 - 36 mo,
$10 a Day ChildCareBC Centre - Woodwards YMCA Child Care,"7th Floor, 111 West Hastings Street",604-685-8355,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,2.5 - 5 yrs,
$10 a Day ChildCareBC Centre - Woodwards YMCA Child Care (Infant/Toddler),"7th Floor, 111 West Hastings Street",604-685-8355,gv.childcare@bc.ymca.ca,gv.ymca.ca/,,English,0 - 18 mo; 19 - 36 mo,
1st Ave Montessori Licensed Family Child Care,3544 West 1st Avenue,604-879-0224,almatallo@hotmail.com,,Montessori,English; Tagalog,2.5 - 5 yrs,
A-1 Daycare Centre (Multi-Age),2001 West 37th Avenue,604-329-2273,123a1daycarecentre@gmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs,
A-1 Learning Centre Licensed Family Child Care,807 West 68th Avenue,778-316-6778,tracychu703@yahoo.com,,,English; Mandarin,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
ABBA Licensed Family Child Care,1769 East 61st Avenue,604-328-9236,janet.8888@live.com,,,English; Mandarin; Cantonese,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Douglas
ABC 123 In-Home Multi-Age Child Care,219 East 62nd Avenue,604-603-4929,abc123childrencare@gmail.com,,,English; Spanish,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Trudeau
Abc Magic Licensed Family Child Care,2498 West 35th Avenue,604-267-4256,shahnazt61@yahoo.com,,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
ABC Montessori Children's Centre,3629 Fraser Street,604-715-3962,,,Montessori,English,2.5 - 5 yrs,
ABC University Daycare,4595 West 8th Avenue,604-228-5885,admin@abcdaycarevancouver.com,,Reggio Inspired,English,2.5 - 5 yrs,
Aboriginal Mother Centre Society,2019 Dundas Street,604-558-2627,daycare@aboriginalmothercentre.ca,aboriginalmothercentre.ca/,,English,2.5 - 5 yrs,
Acorn-Eight Oaks Day Care Centre,103-3637 Cambie Street,604-872-0022,daphne.sweeney@acorndaycare.com,acorndaycare.com/,Reggio Inspired,English; Mandarin; Greek; Croatian,2.5 - 5 yrs,
Activa's Children Studio In-Home Multi-Age Child Care,#4 - 3560 Euclid Avenue,778-898-5437,anyelika_bm@hotmail.com,,,English,2.5 - 5 yrs,
Active Little Angels Licensed Family Child Care,708 East 12th Avenue,604-324-7010,,,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Aida Place Licensed Family Child Care,#102 - 1122 Burnaby Street,778-881-7702,bamiriaida@gmail.com,,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Alecia Little Bear Child Care,,604-339-7558,,,,English; Spanish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Alif Bata Child Care,,778-862-7252,,,,English; Tagalog,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Alison's In-Home Multi-Age Child Care,3588 West 37th Avenue,604-781-6309,alisound@live.com,,,English; Spanish; French,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
All Bright Early Learning Centre Multi-Age Child Care,1888 East 47th Avenue,778-859-8010,,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
All Star's Licensed Family Child Care,5483 Mackie Street,604-445-5415,,,Montessori,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Always Happy Montessori Licensed Family Child Care,6908 Main Street,604-261-6641,sethivineeta@hotmail.com,,Montessori,English; Punjabi; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Anahid In-Home Multi-Age Child Care,#904 - 1000 Beach Avenue,778-373-0329,nahidrh@yahoo.ca,,,English; Farsi,0 - 18 mo; 19 - 36 mo,
Angels Playhouse Daycare Society,1634 East 41st Street,604-809-3868,angelsplayhouse@gmail.com,angelsplayhouse.com/,,English; Mandarin,2.5 - 5 yrs,
Ant Licensed Family Child Care,5468 Inverness Street,604-322-9269,antfamilydaycare@hotmail.com,,,English; Spanish,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Mackenzie
Apple's Familiy Child Care,21 West 60th Avenue,604-322-3573,luciaarauz@hotmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs,
Appleseed Daycare Licensed Family Child Care,2710 McGill Street,778-791-4623,sbi4ever@hotmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Appu Child Care Centre (Infant/Toddler),614 East 48th Avenue,604-322-7433,usaroha1@hotmail.com,,,English,19 - 36 mo,
Arbutus Child Care & Fine Art Learning Centre (Infant/Toddler),4051 Macdonald Street,604-223-5888,info@arbutuschildcare.com,arbutuschildcare.com/,,English,0 - 18 mo; 19 - 36 mo,
Arbutus Montessori Multi-Age Child Care,2636 Oliver Crescent,604-760-0947,melindaho@shaw.ca,,Montessori,English; Mandarin; Cantonese,2.5 - 5 yrs; 19 - 36 mo,
Baby Shark In-Home Multi-Age Child Care,7308 Main Street,778-829-9650,arzoomashal@hotmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Bambi World Licensed Family Child Care,#104 - 95 East 1 st Avenue,604-602-0225,s.diyana@gmail.com,,,English; Serbian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Bambino Family ChildCare Centre,829 Windermere Street,604-442-6125,Rutabacare@gmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Barish Child Care Out-of-School,2835 (B) Revelstoke Crt,604-822-3190,childcare@housing.ubc.ca,,,English,5 - 12 yrs,Norma Rose Point; University Hill
Bayview Community Preschool,3505 West 7th Avenue,604-704-5625,info@bayviewpreschool.ca,bayviewpreschool.ca/,,English,2.5 - 5 yrs,
Beaconsfield Out of School Care,3663 Penticton Street,604-434-5776,ccnh@cedarcottage.org,,Montessori,English; Spanish,5 - 12 yrs,St. Joseph's
Bean Sprouts Multi-Age Child Care,3323 E 23rd Ave,604-722-6426,beansproutskidz@gmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Belen Licensed Family Child Care,#19 - 3550 Adanac Street,604-451-8772,corinaroquue@gmail.com,,,English; Spanish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Benjamin Multi-Age Child Care,6294 St. Catherines Street,604-355-5792,benjaminchildcare@outlook.com,,,English; Portugese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Blooming Minds In-Home Multi-Age Child Care,3935 West 19th Avenue,236-513-9786,,,,English,5 - 12 yrs; 2.5 - 5 yrs,
Blue Spruce Montessori Childrens House,3302 East 25th Avenue,604-375-4953,debbiegizella@shaw.ca,,Montessori,English,2.5 - 5 yrs,
Blue Tree Licensed Family Child Care,2539 East 19th Avenue,604-202-1048,tulaybekler@hotmail.com,,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Blueberry Muffins Licensed Family Child Care,#9 - 1065 West 11th Avenue,778-918-9000,mdssara@gmail.com,,,English; Farsi,0 - 18 mo; 19 - 36 mo,
Bon Debut In-Home Multi-Age Child Care,6593 Wales Street,604-620-0235,Bondebutdaycare@gmail.com,,,English; French,19 - 36 mo,
Brain-Bridge Bilingual Education & Fine Arts Centre,2295 East 61st Avenue,604-322-6830,info@brainbridge.ca,brainbridge.ca,Bilingual,English; Mandarin; Cantonese,2.5 - 5 yrs,
Brainbridge After School Care Centre,2295 East 61st Avenue,(604),info@brainbridge.ca,brainbridge.ca/,,English; 322-6830,5 - 12 yrs,Oppenheimer; Douglas Annex; Douglas
Brainbridge Bilingual Education & Fine Arts Centre,2295 East 61st Avenue,604-322-6830,info@brainbridge.ca,brainbridge.ca,,English; Mandarin; Cantonese,2.5 - 5 yrs,
Bright Beginning Licensed Family Child Care,266 East 55th Avenue,778-378-8470,sehrish.nasim@hotmail.com,,,English,2.5 - 5 yrs; 19 - 36 mo,
Bright Future Licensed Family Child Care,6497 Sophia Street,778-883-2304,Brightfuturefamilychildcare@gmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Bright Minds In-Home Multi-Age Child Care,174 West 20th Avenue,604-876-1077,sueelee123@gmail.com,,,English; Korean,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Bright Owlets Childcare & Learning Centre (Infant/Toddler),320 East 43rd Avenue,604-225-9240,bright.owlets@gmail.com,,,English,0 - 18 mo; 19 - 36 mo,
Bright Owlets Childcare & Learning Centre 2,322 East 43rd Avenue,604-225-9240,bright.owlets@gmail.com,,,English,0 - 18 mo; 19 - 36 mo,
Bright Owlets Childcare & Learning Centre 3,985 East 39th Avenue,604-216-9123,bright.owlets@gmail.com,,,English,0 - 18 mo; 19 - 36 mo,
Bright Owlets Childcare and Learning Centre 4,1005 E 58th Ave,604-216-9123,bright.owlets@gmail.com,,,English,0 - 18 mo,
Brightsky Child Care Centre,666 East 63rd Avenue,778-919-2945,brightskyeducation1@gmail.com,brightskychildcare.ca/,,English; Mandarin,2.5 - 5 yrs,
Brilliant Stars Licensed Family Child Care,2856 East 5th Avenue,604-722-5080,jalleh3575@yahoo.com,,,English; Farsi; Turkish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Brock Junction After School Program,4860 Main Street,604-876-6660,brockjunction@develop.bc.ca,,,English,5 - 12 yrs,Brock
Brown Bear Licensed Family Child Care,#101 - 2035 Barclay Street,778-859-7048,brownbearfcc@gmail.com,,,English; Farsi; Turkish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Bumble Bear Daycare,2305 West 7th Avenue,604-736-3588,amandag@kitshouse.org,,,English; 135,2.5 - 5 yrs,
Busy Bird In-Home Multi Age Child Care,6869 Toderick Street,604-438-6130,busyzzzbird@gmail.com,,,English; Mandarin; Cantonese,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Champlain Heights Annex
Butterfly Licensed Family Child Care,#514-1267 Marinaside Crescent,604-488-0318,maja-a-palinic@hotmail.ca,,,English; Serbian; Croatian; Bosnian,0 - 18 mo; 19 - 36 mo,
Calypso Montessori School BC Ltd.,2474 Prince Edward St,604-266-4416,info@calypsomontessori.com,calypsomontessori.com/,Montessori,English,2.5 - 5 yrs,
Cambie Montessori Children Centre,3535 Cambie Street,604-558-3535,,,Montessori,English,2.5 - 5 yrs,
Captain Alpha In-Home Multi-Age Childcare,5490 Ross Street,778-888-8132,captainalphachildcare@gmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Caring Licensed Family Child Care,5889 Commercial Street,604-566-4467,tracyfay20@hotmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,St. Mary's
Carnarvon Community Out Of School Care,3350 Balaclava Street,604-731-7007,prschool@telus.net,,,English; French; Arabic,5 - 12 yrs,Carnarvon
Carnarvon Community Preschool,3400 Balaclava Street,604-731-7007,prschool@telus.net,,Play Based,English; Spanish; Polish,2.5 - 5 yrs,
Carr Group Childcare (School Age),4070 Oak Street,604-257-8134,cynthia.lightbody@vancouver.ca,,,English,5 - 12 yrs,Carr
Cats in the Cradle Child Care,,778-316-2020,,,,English,0 - 18 mo; 19 - 36 mo,
Cavell Group Childcare (School Age on School Grounds),500 West 20th Avenue,604-257-8134,cynthia.lightbody@vancouver.ca,douglasparkcc.org/facilities/school-age-care/,,English,5 - 12 yrs,Cavell
Ceci Child Care,,604-446-8783,,,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Cedar Cottage Out of School Care,4065 Victoria Drive,604-874-4231,ccnh@cedarcottage.org,,,English; Mandarin; French; Cantonese,5 - 12 yrs,Tecumseh; Secord; Selkirk; Queen Alexandra; Tyee; Dickens; Beaconsfield
Cedar Cottage Preschool,4065 Victoria Drive,604-874-4231,ccnh@cedarcottage.org,,Play Based,English; Mandarin; Cantonese; German,2.5 - 5 yrs,
CEFA Junior Kindergarten - Cambie,8685 Yukon Street,604-325-4417,cambie@cefa.ca,cefa.ca,,English,2.5 - 5 yrs,
CEFA Junior Kindergarten - Cambie (Infant/Toddler),8685 Yukon Street,604-325-4417,cambie@cefa.ca,cefa.ca,,English,0 - 18 mo; 19 - 36 mo,
Champlain Heights Community Centre Out of School Care,3350 Maquinna Drive,604-718-6575,carolyn.silva@vancouver.ca,,,English,5 - 12 yrs,Champlain Heights
Champlain Heights Community Centre Preschool,3350 Maquinna Drive,604-718-6575,pre-school@champlainheightscc.ca,,,English,2.5 - 5 yrs,
Champlain YMCA Kids Club,6955 Frontenac Street,604-438-5571,ymcakidsclubs@bc.ymca.ca,gv.ymca.ca/,,English,5 - 12 yrs,Cook; Champlain Heights; Champlain Heights Annex
Chee in a Tree Childcare,938 West 52nd Avenue,604-618-8584,cheeinatree@gmail.com,cheeinatree.com,,English,0 - 18 mo; 19 - 36 mo,
Chee in a Tree In-Home Multi-Age Child Care,6821 Fremlin Street,604-618-8584,cheeinatree@gmail.com,,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Cherry's Montessori In-Home Multi-Age Child Care,849 East 16th Avenue,604-876-5476,cherrymikeluke@hotmail.com,,Montessori,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Dickens
Children's Club & Art Academy Ltd.,3695 Moscrop Street,778-322-0288,ccaachildcare@gmail.com,,,English,2.5 - 5 yrs,
Children's Hearing & Speech Centre of BC (Multi-Age),3575 Kaslo Street,604-437-0255,dmckenna@childrenshearing.ca,childrenshearing.ca,,English,5 - 12 yrs; 2.5 - 5 yrs,
Children's World Occasional Child Care,487 Alexander Street,604-254-2551,info@vjls-jh.com,vjls-jh.com,,English,2.5 - 5 yrs; 19 - 36 mo,
Chinook -UBC Child Care Services (School Age),5488 Ortona Road,604-822-5343,karen.vaughan@ubc.ca,childcare.ubc.ca/,,English,5 - 12 yrs,Norma Rose Point; University Hill
Chinook 2 -UBC Child Care Services (School Age),2881 Acadia Road,604-822-5343,childcare@housing.ubc.ca,childcare.ubc.ca/,,English,5 - 12 yrs,Norma Rose Point; University Hill
Cityreach Out of School Care,2650 Slocan Street,604-254-2489,maureenp@cityreach.org,,,English,5 - 12 yrs,Secord
Claudia's Licensed Family Child Care,1948 East 33rd Avenue,604-325-9380,tereingles@hotmail.com,,,English; Spanish,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Coal Harbour Kids Care,480 Broughton Street,604-718-8229,jordan.linwood@vancouver.ca,,,English,5 - 12 yrs,Roberts
Coal Harbour Kinder Kids (Part-time Program),480 Broughton Street,604-718-8229,anastasiia.movchan@vancouver.ca,,,English,2.5 - 5 yrs,
Coastal Preschool,1160 West Georgia Street,604-684-8475,preschool@coastalchurch.org,,,English,2.5 - 5 yrs,
Collingwood School Age Child Care Centre,107 - 3417 Euclid Avenue,604-713-5340,AMerton@cnh.bc.ca,,,English,5 - 12 yrs,Collingwood
Community Montessori Children's Centre,1461 East 19th Avenue,604-874-4622,camp192003@yahoo.com,,Montessori,English; French,2.5 - 5 yrs,
Compass Educare - St. David,2475 Franklin Street,604-312-0866,admin@compasseducare.org,compasseducare.org/,,English,2.5 - 5 yrs,
Core Education & Fine Arts,2946 Commercial Drive,604-879-2332,info@cefa.ca,cefa.ca,,English,2.5 - 5 yrs,
Core Education & Fine Arts (Infant/Toddler),2946 Commercial Drive,604-879-2332,info@cefa.ca,cefa.ca,,English,0 - 18 mo; 19 - 36 mo,
Core Education and Fine Arts - Kitsilano,500 - 2025 West Broadway,604-416-2100,kitsilano@cefa.ca,,,English,2.5 - 5 yrs,
Core Education and Fine Arts - Kitsilano (Under 36 Months),500 - 2025 West Broadway,604-416-2100,kitsilano@cefa.ca,,,English,0 - 18 mo; 19 - 36 mo,
Core Education and Fine Arts - UBC,2620 Acadia Rd,604-671-3047,aman.kallu@cefa.ca,,,English,2.5 - 5 yrs,
Core Education and Fine Arts - UBC,2620 Acadia Rd,604-671-3047,aman.kallu@cefa.ca,,,English,0 - 18 mo; 19 - 36 mo,
Corpus Christi Child Care Centre,2362 Waverley Avenue,604-321-1117,office@cchristi.ca,,,English,2.5 - 5 yrs,
Cozy Childcare Inc. (Multi-Age),3236 West 13th Avenue,778-237-0035,abaszadehfatima@gmail.com,Cozychildcare.com,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Crawling Critters Licensed Family Child Care,2228 Galt Street,604-434-6241,avelinamaala@yahoo.ca,,,English; Spanish; Tagalog,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Norquay
Creative Kids Montessori & Fine Arts Academy (Multi-Age),2663 West King Edward Avenue,604-568-8059,info@creativekidsmontessori.com,,Montessori,English,2.5 - 5 yrs,
Creative Minds Early Learning Centre,5351 Camosun Street,604-263-4711,creativemindsels@gmail.com,,Emergent Curriculum,English; Spanish; Punjabi; Hindi; Cantonese,2.5 - 5 yrs,
Creekview Tiny Tots - Toddler Program,1483 Lamey's Mill Road,604-742-0212,creekviewtiny@yahoo.ca,,Play Based,English; Tagalog; French,19 - 36 mo,
Crofton House School Early Childhood Education Centre,5828 Blenheim Street,604-263-3255,admissions@croftonhouse.ca,,,English; ext. 5800,2.5 - 5 yrs,
Crown Parent Participation Preschool,3737 West 27th Avenue,604-228-1316,crownpreschoolteachers@gmail.com,crownpreschool.ca,Play Based,English,2.5 - 5 yrs,
Curiosity Corner Preschool,3455 W King Edward Avenue,604-261-4434,info@curiositycornerpreschool.ca,curiositycornerpreschool.ca,Reggio Inspired,English,2.5 - 5 yrs,
D'Ace Little Angels Licensed Family Child Care,506 West 62nd Avenue,778-329-5683,cetumbaga02@yahoo.ca,,,English; Tagalog,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Laurier
Daisy Academy Montessori Preschool,8886 Hudson Street,778-322-4305,info@daisymontessori.com,,Montessori,English,2.5 - 5 yrs,
Dickens Out Of School Care (School Age Care on School Grounds),1010 East 17th Avenue,604-874-4993,kcooper@cedarcottage.org,,,English; Spanish; German,5 - 12 yrs,Dickens Annex
Discover Possibilities,3192 Queens Avenue,604-336-6488,dpcc2202@gmail.com,,,English,2.5 - 5 yrs,
Donguri Preschool,3214 West 10th Avenue,778-798-1404,donguri.w10th@gmail.com,donguripreschool.ca/,,English; Japanese,2.5 - 5 yrs,
Douglas Park Academy In-Home Multi-Age Child Care,4037 Commercial Street,604-565-7866,lisa@douglasparkacademy.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Douglas Park Academy Multi-Age Child Care,#2 - 845 West 20th Avenue,604-428-5472,lisa@douglasparkacademy.com,douglasparkacademy.com/,,English,2.5 - 5 yrs,
Douglas Park Preschool,801 West 22nd Avenue,604-257-8134,rosie.laforges@vancouver.ca,,,English; Greek,2.5 - 5 yrs,
Douglas Park School Age Care,801 West 22nd Avenue,604-257-8134,rosie.laforges@vancouver.ca,,,English; Spanish; Greek; French,5 - 12 yrs,Cavell; Carr
Douglas Park Summer Preschool,801 West 22nd Avenue,604-257-8134,rosie.laforges@vancouver.ca,,,English,2.5 - 5 yrs,
Douglas YMCA Kids Club (School Age Care on School Grounds),2150 Brigadoon Avenue,604-218-2816,ymcakidsclubs@bc.ymca.ca,gv.ymca.ca/,,English,5 - 12 yrs,Douglas
Dragonfly Licensed Family Child Care,#403- 1267 Marinaside Crescent,604-767-4749,brkiclila@yahoo.com,,,English; Serbian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Dunbar Kids Club,3776 West 28th Avenue,604-221-1148,amandag@kitshouse.org,,,English,5 - 12 yrs,Immaculate Conception
Dunbar Memorial Preschool,4747 Dunbar Street,604-222-6065,info@dmppp.ca,dmppp.ca,Play Based,English,2.5 - 5 yrs,
Dunbar-Queen Elizabeth Group Child Care (School Age),4102 West 16th Avenue,604-224-1125,qedaycare@vsb.bc.ca,,,English; Spanish; French,5 - 12 yrs,Queen Elizabeth Annex; Quesnel; Queen Elizabeth
Eagle's Nest Aboriginal Headstart Preschool,618 East Hastings Street,604-253-3354,coordinator@en.acc-society.bc.ca,,Play Based,English,2.5 - 5 yrs,
Earles Montessori Learning In-Home Multi-Age Child Care,4686 Earles Street,604-436-4545,earlesmontessori@gmail.com,,Montessori,English; Tagalog,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Early Beginnings Multi-Age Child Care,2643 McGill Street,604-255-2579,adeela_b@hotmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Hastings
Early World Licensed Family Child Care,2845 Dundas Street,604-251-5306,rajii59@hotmail.com,,,English; Urdu; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
East Side Family Place Child Minding,1655 William Street,604-255-9841,gmcclain@eastsidefamilyplace.org,eastsidefamilyplace.org,,English,2.5 - 5 yrs; 19 - 36 mo,
East Van Child Care Centre Licensed Family Child Care,140 N Slocan Street,778-938-8467,,,,English; Spanish,2.5 - 5 yrs,
East Village Kids (3-5 programs),3194 East Georgia Street,604-215-0839,Hello@EastVillageKids.ca,EastVillageKids.ca,,English,2.5 - 5 yrs,
East Village Kids (Infant/Toddler),3194 East Georgia Street,604-215-0839,Hello@EastVillageKids.ca,EastVillageKids.ca,,English,0 - 18 mo; 19 - 36 mo,
East Village Kids Group Child Care,19 N Renfrew Street,604-215-0839,brady@eastvillagekids.ca,eastvillagekids.ca,,English,5 - 12 yrs,West Coast Christian School; Hastings
East Village Kids Preschool,19 N Renfrew Street,604-215-0839,brady@eastvillagekids.ca,eastvillagekids.ca,Reggio Inspired,English,2.5 - 5 yrs,West Coast Christian School; Hastings; Tillicum Annex
Eco Bear In-Home Multi-Age Child Care,3545 West 14th Avenue,778-223-2547,ecobeardaycare@gmail.com,,,English; Japanese,2.5 - 5 yrs,
Elite Montessori Academy,101 - 3641 West 29th Avenue,604-221-0242,EMAadmission@gmail.com,,Montessori,English,2.5 - 5 yrs,
Elite Montessori Academy Blenheim Group Care,4720 Blenheim Street,778-928-0984,,,Montessori,English,2.5 - 5 yrs,
Evergreen Montessori Preschool,3860 Trafalgar Street,604-736-8373,evergreenm@telus.net,,Montessori,English; Mandarin; French,2.5 - 5 yrs,
Everyday Sunshine Licensed Family Child Care,105 - 95 East 1st Avenue,604-754-7238,mbafkar@hotmail.com,,,English; Turkish,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Explore & Learn Family Daycare Licensed Family Child Care,4517 Fraser Street,778-866-5459,,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,
Extra Steps Preschool,726 West 16th Avenue,604-569-0388,info@extrasteps.ca,extrasteps.ca,Play Based,English,2.5 - 5 yrs,
False Creek Out Of School Care,"Bldg.#79, 1318 Cartwright Street",604-257-6998,tabatha.marin@vancouver.ca,,,English,5 - 12 yrs,False Creek
Family Montessori School,1099 Sitka Square,604-731-8810,info@familymontessori.com,,Montessori,English,2.5 - 5 yrs,
Finnegan Out Of School Care,5401 Hudson Street,604-261-4285,bseppelt@vc.bc.ca,,,English,5 - 12 yrs,Vancouver College
First Avenue Licensed Family Child Care,162 Walter Hardwick Avenue,778-839-9999,,,,English,2.5 - 5 yrs,
Fleming YMCA Kids Club (School Age on School Grounds),6363 Lanark Street,604-318-9038,ymcakidsclubs@bc.ymca.ca,gv.ymca.ca/,,English,5 - 12 yrs,Fleming
Forget-Me-Not Montessori Preschool,6184 Ash Street,604-324-1035,teacheramala@yahoo.com,,Montessori,English; Mandarin; French; Cantonese,2.5 - 5 yrs,
Franklin Community Preschool,250 South Skeena Street,604-291-9310,franklinpreschool@gmail.com,franklinpreschool.ca,Bilingual,English; Spanish; Tagalog,2.5 - 5 yrs,
Franklin YMCA Kids Club,250 South Skeena Street,778-960-6463,ymcakidsclubs@bc.ymca.ca,gv.ymca.ca/,,English,5 - 12 yrs,Franklin
Fraser Montessori Children's House,6858 Fraser Street,778-996-0590,,,Montessori,English,2.5 - 5 yrs,
Fraserhood Childcare Centre,4585 Prince Albert Street,604-724-6818,fraserhoodchildcarecentre@gmail.com,,,English,0 - 18 mo; 19 - 36 mo,
Fraserview Club,7595 Victoria Drive,604-325-9612,fraserviewclub@bgcbc.ca,bgcbc.ca/locations/fraserview/,,English,5 - 12 yrs,Douglas Annex
Fraserview Montessori Preschool and Kindergarten,1992 Prestwick Drive,604-324-4324,fraserviewmontessori@gmail.com,fraserviewmontessori.com/,Montessori,English,2.5 - 5 yrs,
Free-Spirit Licensed Family Child Care,3150 East 53rd Avenue,778-855-6401,emilymmk@hotmail.com,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Cook
Frog Hollow NBH House's Kids World,2131 Renfrew Street,604-251-1225,mike@froghollow.bc.ca,,,English; Spanish; Greek; French; Cantonese,5 - 12 yrs,Secord; Maquinna; Wakwanas ta syaqwam (Begbie)
Frog Hollow NBH House's Nootka Group Child Care,3375 Nootka Street,604-657-7276,Frankie@froghollow.bc.ca,,,English,5 - 12 yrs,Nootka
Frog Hollow NBH House's Preschool,2131 Renfrew Street,604-251-1225,nicoletta@froghollow.bc.ca,froghollow.bc.ca,Reggio Inspired 241,English,2.5 - 5 yrs,
Funny Bunny's Licensed Family Child Care,3478 East 25th Avenue,778-881-8013,javairiaakbar@hotmail.com,,,English; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Renfrew
Garderie L'ile aux enfants,5445 Baillie Street,604-736-5056,garderies@fpfcb.bc.ca,ileauxenfants.ca/home1,,English; French,2.5 - 5 yrs,
Garderie Tartine et Chocolat,7051 Killarney Street,778-955-6440,tartineetchocolat-educ-resp@fpfcb.bc.ca,,,English; French,2.5 - 5 yrs,
