Program Name,Program Type,Location,Phone,Email,Website,Languages,Age Groups,Curriculum,Schools Served
$10 a Day ChildCareBC Centre - Summer of '73 Daycare,Group Daycare (30mths - School Age),5690 B Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English; Mandarin; French; Polish,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Terry Tayler Early Learning and Care Centre,Group Daycare (under 36 mths),2355 East 30th Avenue,604-433-4459,AMerton@cnh.bc.ca,,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Terry Tayler Early Learning and Care Centre (3-5 Program),Group Daycare (30mths - School Age),2355 East 30 Avenue,604-433-4459,AMerton@cnh.bc.ca,,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - The Collective Tennyson Childcare Centre (School Age),Group Care School Age,2650 Maple Street,604-736-3588,amandag@kitshouse.org,,English,5 - 12 yrs,Reggio Inspired,Tennyson
$10 a Day ChildCareBC Centre - The Junction Children's Centre - (3-5 Program),Group Daycare (30mths - School Age),1059 Main Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - The Junction Children's Centre - Toddler Program,Group Daycare (under 36 mths),1059 Main Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - The Mark Children's Centre - Toddler Program,Group Daycare (under 36 mths),#100 - 1362 Seymour Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - The Mark Children's Centre (3-5 Program),Group Daycare (30mths - School Age),#100 - 1362 Seymour Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - The Montessori Daycare Society (3-5 Program),Group Daycare (30mths - School Age),2005 West 10th Avenue,604-731-6917,info.montessoridaycare@gmail.com,https://mdcsvancouver.com/,English,2.5 - 5 yrs,Montessori,
$10 a Day ChildCareBC Centre - The Montessori Daycare Society (Infant/Toddler),Group Daycare (under 36 mths),2005 West 10th Avenue,604-731-6917,info.montessoridaycare@gmail.com,https://mdcsvancouver.com/,English,0 - 18 mo; 19 - 36 mo,Montessori,
$10 a Day ChildCareBC Centre - The Village @ Lord Nelson (3-5 Program),Group Daycare (30mths - School Age),1355 Garden Drive,604-251-4311,annac@froghollow.bc.ca,http://www.froghollow.bc.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - The Village @ Lord Nelson (Infant/Toddler),Group Daycare (under 36 mths),1355 Garden Drive,604-251-4133,annac@froghollow.bc.ca,http://www.froghollow.bc.ca/,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - The Village @ Lord Nelson (School Age),Group Care School Age,1355 Garden Drive,604-251-4133,frankie@froghollow.bc.ca,http://www.froghollow.bc.ca/,English,5 - 12 yrs,,Nelson
$10 a Day ChildCareBC Centre - Thunderbird N. Centre Nursery School,Preschool (30mths - School Age),2311 Cassiar Street,604-713-1827,Thunderbird.Preschool@Vancouver.ca,,English; Spanish; Mandarin; Cantonese,2.5 - 5 yrs,Play Based,
$10 a Day ChildCareBC Centre - Thunderbird Out of School Care,Group Care School Age,2311 Cassiar Street,604-713-1830,tbirdosc@gmail.com,,English; Cantonese; Italian,5 - 12 yrs,,Thunderbird
$10 a Day ChildCareBC Centre - Tillicum Daycare,Group Daycare (30mths - School Age),5660 B Osoyoos Crescent,604-822-5343,childcare@housing.ubc.ca,,English; Japanese; Mandarin,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Vista Point YMCA Childcare Centre (Priority to UNA residents),Group Daycare (30mths - School Age),#100 - 5828 Thunderbird Blvd,604-222-0552,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Water View YMCA Child Care - Toddler Program,Group Daycare (under 36 mths),150 Water Street,236-521-8606,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Water View YMCA Child Care (3-5 Program),Group Daycare (30mths - School Age),150 Water Street,236-521-8606,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Waterfront Children's Centre (3-5 Program),Group Daycare (30mths - School Age),#505-1067 West Cordova Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Waterfront Children's Centre (Infant/Toddler),Group Daycare (under 36 mths),505-1067 West Cordova Street,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,0 - 18 mo; 19 - 36 mo,Play Based,
$10 a Day ChildCareBC Centre - Waverley School-Age Care (School Age Care on School Grounds),Group Care School Age,6111 Elliott Street,604-324-6212,zohreh.pezhman@southvan.org,,English,5 - 12 yrs,,Waverley
$10 a Day ChildCareBC Centre - Wesbrook YMCA Child Care (0-3 GDC),Group Daycare (under 36 mths),3335 Webber Lane,604-416-3250,gv.childcare@bc.ymca.ca,http://gv.ymca.ca/,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Wesbrook YMCA Child Care (3-5 GDC),Group Daycare (30mths - School Age),3335 Webber Lane,604-416-3250,gv.childcare@bc.ymca.ca,http://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - WEST Village Children's Centre (3-5 Program),Group Daycare (30mths - School Age),131 West 2nd Avenue,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - WEST Village Children's Centre (Infant/Toddler),Group Daycare (under 36 mths),131 West 2nd Avenue,604-718-6555,info@vsocc.org,http://www.vsocc.org/,English,0 - 18 mo; 19 - 36 mo,,
$10 a Day ChildCareBC Centre - Willow Child Care Centre (Infant/Toddler),Group Daycare (under 36 mths),2845 Revelstoke Ct,604-822-5343,childcare@housing.ubc.ca,,English,19 - 36 mo,,
$10 a Day ChildCareBC Centre - Woodwards YMCA Child Care,Group Daycare (30mths - School Age),"7th Floor, 111 West Hastings Street",604-685-8355,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,2.5 - 5 yrs,,
$10 a Day ChildCareBC Centre - Woodwards YMCA Child Care (Infant/Toddler),Group Daycare (under 36 mths),"7th Floor, 111 West Hastings Street",604-685-8355,gv.childcare@bc.ymca.ca,https://gv.ymca.ca/,English,0 - 18 mo; 19 - 36 mo,,
1st Ave Montessori Licensed Family Child Care,Licensed Family Child Care,3544 West 1st Avenue,604-879-0224,almatallo@hotmail.com,,English; Tagalog,2.5 - 5 yrs,Montessori,
A-1 Daycare Centre (Multi-Age),Multi-Age Child Care,2001 West 37th Avenue,604-329-2273,123a1daycarecentre@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs,,
A-1 Learning Centre Licensed Family Child Care,Licensed Family Child Care,807 West 68th Avenue,778-316-6778,tracychu703@yahoo.com,,English; Mandarin,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
ABBA Licensed Family Child Care,Licensed Family Child Care,1769 East 61st Avenue,604-328-9236,janet.8888@live.com,,English; Mandarin; Cantonese,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Douglas
ABC 123 In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,219 East 62nd Avenue,604-603-4929,abc123childrencare@gmail.com,,English; Spanish,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Trudeau
Abc Magic Licensed Family Child Care,Licensed Family Child Care,2498 West 35th Avenue,604-267-4256,shahnazt61@yahoo.com,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
ABC Montessori Children's Centre,Group Daycare (30mths - School Age),3629 Fraser Street,604-715-3962,,,English,2.5 - 5 yrs,Montessori,
ABC University Daycare,Group Daycare (30mths - School Age),4595 West 8th Avenue,604-228-5885,admin@abcdaycarevancouver.com,,English,2.5 - 5 yrs,Reggio Inspired,
Aboriginal Mother Centre Society,Group Daycare (30mths - School Age),2019 Dundas Street,604-558-2627,daycare@aboriginalmothercentre.ca,http://www.aboriginalmothercentre.ca/,English,2.5 - 5 yrs,,
Acorn-Eight Oaks Day Care Centre,Group Daycare (30mths - School Age),103-3637 Cambie Street,604-872-0022,daphne.sweeney@acorndaycare.com,https://www.acorndaycare.com/,English; Mandarin; Greek; Croatian,2.5 - 5 yrs,Reggio Inspired,
Activa's Children Studio In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,#4 - 3560 Euclid Avenue,778-898-5437,anyelika_bm@hotmail.com,,English,2.5 - 5 yrs,,
Active Little Angels Licensed Family Child Care,Licensed Family Child Care,708 East 12th Avenue,604-324-7010,,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Aida Place Licensed Family Child Care,Licensed Family Child Care,#102 - 1122 Burnaby Street,778-881-7702,bamiriaida@gmail.com,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Alecia Little Bear Child Care,Registered License-Not-Required Child Care,Clarendon Street and East 37th Avenue,604-339-7558,,,English; Spanish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Alif Bata Child Care,Registered License-Not-Required Child Care,Kerr Street and East 54th Avenue,778-862-7252,,,English; Tagalog,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Alison's In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,3588 West 37th Avenue,604-781-6309,alisound@live.com,,English; Spanish; French,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
All Bright Early Learning Centre Multi-Age Child Care,Multi-Age Child Care,1888 East 47th Avenue,778-859-8010,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
All Star's Licensed Family Child Care,Licensed Family Child Care,5483 Mackie Street,604-445-5415,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Montessori,
Always Happy Montessori Licensed Family Child Care,Licensed Family Child Care,6908 Main Street,604-261-6641,sethivineeta@hotmail.com,,English; Punjabi; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Montessori,
Anahid In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,#904 - 1000 Beach Avenue,778-373-0329,nahidrh@yahoo.ca,,English; Farsi,0 - 18 mo; 19 - 36 mo,,
Angels Playhouse Daycare Society,Group Daycare (30mths - School Age),1634 East 41st Street,604-809-3868,angelsplayhouse@gmail.com,https://www.angelsplayhouse.com/,English; Mandarin,2.5 - 5 yrs,,
Ant Licensed Family Child Care,Licensed Family Child Care,5468 Inverness Street,604-322-9269,antfamilydaycare@hotmail.com,,English; Spanish,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Mackenzie
Apple's Familiy Child Care,Licensed Family Child Care,21 West 60th Avenue,604-322-3573,luciaarauz@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs,,
Appleseed Daycare Licensed Family Child Care,Licensed Family Child Care,2710 McGill Street,778-791-4623,sbi4ever@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Appu Child Care Centre (Infant/Toddler),Group Daycare (under 36 mths),614 East 48th Avenue,604-322-7433,usaroha1@hotmail.com,,English,19 - 36 mo,,
Arbutus Child Care & Fine Art Learning Centre (Infant/Toddler),Group Daycare (under 36 mths),4051 Macdonald Street,604-223-5888,info@arbutuschildcare.com,https://www.arbutuschildcare.com/,English,0 - 18 mo; 19 - 36 mo,,
Arbutus Montessori Multi-Age Child Care,Multi-Age Child Care,2636 Oliver Crescent,604-760-0947,melindaho@shaw.ca,,English; Mandarin; Cantonese,2.5 - 5 yrs; 19 - 36 mo,Montessori,
Baby Shark In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,7308 Main Street,778-829-9650,arzoomashal@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Bambi World Licensed Family Child Care,Licensed Family Child Care,#104 - 95 East 1 st Avenue,604-602-0225,s.diyana@gmail.com,,English; Serbian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Bambino Family ChildCare Centre,Licensed Family Child Care,829 Windermere Street,604-442-6125,Rutabacare@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Barish Child Care Out-of-School,Group Care School Age,2835 (B) Revelstoke Crt,604-822-3190,childcare@housing.ubc.ca,,English,5 - 12 yrs,,Norma Rose Point; University Hill
Bayview Community Preschool,Preschool (30mths - School Age),3505 West 7th Avenue,604-704-5625,info@bayviewpreschool.ca,https://bayviewpreschool.ca/,English,2.5 - 5 yrs,,
Beaconsfield Out of School Care,Group Care School Age,3663 Penticton Street,604-434-5776,ccnh@cedarcottage.org,,English; Spanish,5 - 12 yrs,Montessori,St. Joseph's
Bean Sprouts Multi-Age Child Care,Multi-Age Child Care,3323 E 23rd Ave,604-722-6426,beansproutskidz@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Belen Licensed Family Child Care,Licensed Family Child Care,#19 - 3550 Adanac Street,604-451-8772,corinaroquue@gmail.com,,English; Spanish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Benjamin Multi-Age Child Care,Multi-Age Child Care,6294 St. Catherines Street,604-355-5792,benjaminchildcare@outlook.com,,English; Portugese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Blooming Minds In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,3935 West 19th Avenue,236-513-9786,,,English,5 - 12 yrs; 2.5 - 5 yrs,,
Blue Spruce Montessori Childrens House,Group Daycare (30mths - School Age),3302 East 25th Avenue,604-375-4953,debbiegizella@shaw.ca,,English,2.5 - 5 yrs,Montessori,
Blue Tree Licensed Family Child Care,Licensed Family Child Care,2539 East 19th Avenue,604-202-1048,tulaybekler@hotmail.com,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Blueberry Muffins Licensed Family Child Care,Licensed Family Child Care,#9 - 1065 West 11th Avenue,778-918-9000,mdssara@gmail.com,,English; Farsi,0 - 18 mo; 19 - 36 mo,,
Bon Debut In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,6593 Wales Street,604-620-0235,Bondebutdaycare@gmail.com,,English; French,19 - 36 mo,,
Brain-Bridge Bilingual Education & Fine Arts Centre,Preschool (30mths - School Age),2295 East 61st Avenue,604-322-6830,info@brainbridge.ca,http://www.brainbridge.ca/,English; Mandarin; Cantonese,2.5 - 5 yrs,Bilingual,
Brainbridge After School Care Centre,Group Care School Age,2295 East 61st Avenue,(604) 322-6830,info@brainbridge.ca,https://brainbridge.ca/,English,5 - 12 yrs,,Oppenheimer; Douglas Annex; Douglas
Brainbridge Bilingual Education & Fine Arts Centre,Preschool (30mths - School Age),2295 East 61st Avenue,604-322-6830,info@brainbridge.ca,http://www.brainbridge.ca/,English; Mandarin; Cantonese,2.5 - 5 yrs,,
Bright Beginning Licensed Family Child Care,Licensed Family Child Care,266 East 55th Avenue,778-378-8470,sehrish.nasim@hotmail.com,,English,2.5 - 5 yrs; 19 - 36 mo,,
Bright Future Licensed Family Child Care,In-Home Multi-Age Child Care,6497 Sophia Street,778-883-2304,Brightfuturefamilychildcare@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Bright Minds In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,174 West 20th Avenue,604-876-1077,sueelee123@gmail.com,,English; Korean,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Bright Owlets Childcare & Learning Centre (Infant/Toddler),Group Daycare (under 36 mths),320 East 43rd Avenue,604-225-9240,bright.owlets@gmail.com,,English,0 - 18 mo; 19 - 36 mo,,
Bright Owlets Childcare & Learning Centre 2,Group Daycare (under 36 mths),322 East 43rd Avenue,604-225-9240,bright.owlets@gmail.com,,English,0 - 18 mo; 19 - 36 mo,,
Bright Owlets Childcare & Learning Centre 3,Group Daycare (under 36 mths),985 East 39th Avenue,604-216-9123,bright.owlets@gmail.com,,English,0 - 18 mo; 19 - 36 mo,,
Brightsky Child Care Centre,Group Daycare (30mths - School Age),666 East 63rd Avenue,778-919-2945,brightskyeducation1@gmail.com,https://brightskychildcare.ca/,English; Mandarin,2.5 - 5 yrs,,
Brilliant Stars Licensed Family Child Care,Licensed Family Child Care,2856 East 5th Avenue,604-722-5080,jalleh3575@yahoo.com,,English; Farsi; Turkish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Brock Junction After School Program,Group Care School Age,4860 Main Street,604-876-6660,brockjunction@develop.bc.ca,,English,5 - 12 yrs,,Brock
Brown Bear Licensed Family Child Care,Licensed Family Child Care,#101 - 2035 Barclay Street,778-859-7048,brownbearfcc@gmail.com,,English; Farsi; Turkish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Bumble Bear Daycare,Group Daycare (30mths - School Age),2305 West 7th Avenue,604-736-3588 135,amandag@kitshouse.org,,English,2.5 - 5 yrs,,
Busy Bird In-Home Multi Age Child Care,In-Home Multi-Age Child Care,6869 Toderick Street,604-438-6130,busyzzzbird@gmail.com,,English; Mandarin; Cantonese,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Champlain Heights Annex
Butterfly Licensed Family Child Care,Licensed Family Child Care,#514-1267 Marinaside Crescent,604-488-0318,maja-a-palinic@hotmail.ca,,English; Serbian; Croatian; Bosnian,0 - 18 mo; 19 - 36 mo,,
Calypso Montessori School BC Ltd.,Preschool (30mths - School Age),2474 Prince Edward St,604-266-4416,info@calypsomontessori.com,https://www.calypsomontessori.com/,English,2.5 - 5 yrs,Montessori,
Cambie Montessori Children Centre,Group Daycare (30mths - School Age),3535 Cambie Street,604-558-3535,,,English,2.5 - 5 yrs,Montessori,
Captain Alpha In-Home Multi-Age Childcare,In-Home Multi-Age Child Care,5490 Ross Street,778-888-8132,captainalphachildcare@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Caring Licensed Family Child Care,Licensed Family Child Care,5889 Commercial Street,604-566-4467,tracyfay20@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,St. Mary's
Carnarvon Community Out Of School Care,Group Care School Age,3350 Balaclava Street,604-731-7007,prschool@telus.net,,English; French; Arabic,5 - 12 yrs,,Carnarvon
Carnarvon Community Preschool,Preschool (30mths - School Age),3400 Balaclava Street,604-731-7007,prschool@telus.net,,English; Spanish; Polish,2.5 - 5 yrs,Play Based,
Carr Group Childcare (School Age),Group Care School Age,4070 Oak Street,604-257-8134,cynthia.lightbody@vancouver.ca,,English,5 - 12 yrs,,Carr
Cats in the Cradle Child Care,Registered License-Not-Required Child Care,Smithe Street and Thurlow Street,778-316-2020,,,English,0 - 18 mo; 19 - 36 mo,,
Cavell Group Childcare (School Age on School Grounds),Group Care School Age,500 West 20th Avenue,604-257-8134,cynthia.lightbody@vancouver.ca,https://douglasparkcc.org/facilities/school-age-care/,English,5 - 12 yrs,,Cavell
Ceci Child Care,Registered License-Not-Required Child Care,Nootka Street and East 20th Avenue,604-446-8783,,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Cedar Cottage Out of School Care,Group Care School Age,4065 Victoria Drive,604-874-4231,ccnh@cedarcottage.org,,English; Mandarin; French; Cantonese,5 - 12 yrs,,Tecumseh; Secord; Selkirk; Queen Alexandra; Tyee; Dickens; Beaconsfield
Cedar Cottage Preschool,Preschool (30mths - School Age),4065 Victoria Drive,604-874-4231,ccnh@cedarcottage.org,,English; Mandarin; Cantonese; German,2.5 - 5 yrs,Play Based,
CEFA Junior Kindergarten - Cambie,Group Daycare (30mths - School Age),8685 Yukon Street,604-325-4417,cambie@cefa.ca,http://www.cefa.ca/,English,2.5 - 5 yrs,,
CEFA Junior Kindergarten - Cambie (Infant/Toddler),Group Daycare (under 36 mths),8685 Yukon Street,604-325-4417,cambie@cefa.ca,http://www.cefa.ca/,English,0 - 18 mo; 19 - 36 mo,,
Champlain Heights Community Centre Out of School Care,Group Care School Age,3350 Maquinna Drive,604-718-6575,carolyn.silva@vancouver.ca,,English,5 - 12 yrs,,Champlain Heights
Champlain Heights Community Centre Preschool,Preschool (30mths - School Age),3350 Maquinna Drive,604-718-6575,pre-school@champlainheightscc.ca,,English,2.5 - 5 yrs,,
Champlain YMCA Kids Club,Group Care School Age,6955 Frontenac Street,604-438-5571,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Cook; Champlain Heights; Champlain Heights Annex
Chee in a Tree Childcare,Group Daycare (under 36 mths),938 West 52nd Avenue,604-618-8584,cheeinatree@gmail.com,http://www.cheeinatree.com/,English,0 - 18 mo; 19 - 36 mo,,
Chee in a Tree In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,6821 Fremlin Street,604-618-8584,cheeinatree@gmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Cherry's Montessori In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,849 East 16th Avenue,604-876-5476,cherrymikeluke@hotmail.com,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Montessori,Dickens
Children's Club & Art Academy Ltd.,Group Daycare (30mths - School Age),3695 Moscrop Street,778-322-0288,ccaachildcare@gmail.com,,English,2.5 - 5 yrs,,
Children's Hearing & Speech Centre of BC (Multi-Age),Multi-Age Child Care,3575 Kaslo Street,604-437-0255,dmckenna@childrenshearing.ca,http://www.childrenshearing.ca/,English,5 - 12 yrs; 2.5 - 5 yrs,,
Children's World Occasional Child Care,Occasional Child Care,487 Alexander Street,604-254-2551,info@vjls-jh.com,http://www.vjls-jh.com/,English,2.5 - 5 yrs; 19 - 36 mo,,
Chinook -UBC Child Care Services (School Age),Group Care School Age,5488 Ortona Road,604-822-5343,karen.vaughan@ubc.ca,https://childcare.ubc.ca/,English,5 - 12 yrs,,Norma Rose Point; University Hill
Chinook 2 -UBC Child Care Services (School Age),Group Care School Age,2881 Acadia Road,604-822-5343,childcare@housing.ubc.ca,https://childcare.ubc.ca/,English,5 - 12 yrs,,Norma Rose Point; University Hill
Cityreach Out of School Care,Group Care School Age,2650 Slocan Street,604-254-2489,maureenp@cityreach.org,,English,5 - 12 yrs,,Secord
Claudia's Licensed Family Child Care,Licensed Family Child Care,1948 East 33rd Avenue,604-325-9380,tereingles@hotmail.com,,English; Spanish,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Coal Harbour Kids Care,Group Care School Age,480 Broughton Street,604-718-8229,jordan.linwood@vancouver.ca,,English,5 - 12 yrs,,Roberts
Coal Harbour Kinder Kids (Part-time Program),Occasional Child Care,480 Broughton Street,604-718-8229,anastasiia.movchan@vancouver.ca,,English,2.5 - 5 yrs,,
Coastal Preschool,Preschool (30mths - School Age),1160 West Georgia Street,604-684-8475,preschool@coastalchurch.org,,English,2.5 - 5 yrs,,
Collingwood School Age Child Care Centre,Group Care School Age,107 - 3417 Euclid Avenue,604-713-5340,AMerton@cnh.bc.ca,,English,5 - 12 yrs,,Collingwood
Community Montessori Children's Centre,Group Daycare (30mths - School Age),1461 East 19th Avenue,604-874-4622,camp192003@yahoo.com,,English; French,2.5 - 5 yrs,Montessori,
Compass Educare - St. David,Group Daycare (30mths - School Age),2475 Franklin Street,604-312-0866,admin@compasseducare.org,https://compasseducare.org/,English,2.5 - 5 yrs,,
Core Education & Fine Arts,Group Daycare (30mths - School Age),2946 Commercial Drive,604-879-2332,info@cefa.ca,http://www.cefa.ca/,English,2.5 - 5 yrs,,
Core Education & Fine Arts (Infant/Toddler),Group Daycare (under 36 mths),2946 Commercial Drive,604-879-2332,info@cefa.ca,http://www.cefa.ca/,English,0 - 18 mo; 19 - 36 mo,,
Core Education and Fine Arts - Kitsilano,Group Daycare (30mths - School Age),500 - 2025 West Broadway,604-416-2100,kitsilano@cefa.ca,,English,2.5 - 5 yrs,,
Core Education and Fine Arts - Kitsilano (Under 36 Months),Group Daycare (under 36 mths),500 - 2025 West Broadway,604-416-2100,kitsilano@cefa.ca,,English,0 - 18 mo; 19 - 36 mo,,
Core Education and Fine Arts - UBC,Group Daycare (30mths - School Age),2620 Acadia Rd,604-671-3047,aman.kallu@cefa.ca,,English,2.5 - 5 yrs,,
Core Education and Fine Arts - UBC,Group Daycare (under 36 mths),2620 Acadia Rd,604-671-3047,aman.kallu@cefa.ca,,English,0 - 18 mo; 19 - 36 mo,,
Corpus Christi Child Care Centre,Group Daycare (30mths - School Age),2362 Waverley Avenue,604-321-1117,office@cchristi.ca,,English,2.5 - 5 yrs,,
Cozy Childcare Inc. (Multi-Age),Multi-Age Child Care,3236 West 13th Avenue,778-237-0035,abaszadehfatima@gmail.com,http://www.cozychildcare.com/,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Crawling Critters Licensed Family Child Care,Licensed Family Child Care,2228 Galt Street,604-434-6241,avelinamaala@yahoo.ca,,English; Spanish; Tagalog,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Norquay
Creative Kids Montessori & Fine Arts Academy (Multi-Age),Multi-Age Child Care,2663 West King Edward Avenue,604-568-8059,info@creativekidsmontessori.com,,English,2.5 - 5 yrs,Montessori,
Creative Minds Early Learning Centre,Group Daycare (30mths - School Age),5351 Camosun Street,604-263-4711,creativemindsels@gmail.com,,English; Spanish; Punjabi; Hindi; Cantonese,2.5 - 5 yrs,Emergent Curriculum,
Creekview Tiny Tots - Toddler Program,Group Daycare (under 36 mths),1483 Lamey's Mill Road,604-742-0212,creekviewtiny@yahoo.ca,,English; Tagalog; French,19 - 36 mo,Play Based,
Crofton House School Early Childhood Education Centre,Group Daycare (30mths - School Age),5828 Blenheim Street,604-263-3255 ext. 5800,admissions@croftonhouse.ca,,English,2.5 - 5 yrs,,
Crown Parent Participation Preschool,Preschool (30mths - School Age),3737 West 27th Avenue,604-228-1316,crownpreschoolteachers@gmail.com,http://www.crownpreschool.ca/,English,2.5 - 5 yrs,Play Based,
Curiosity Corner Preschool,Preschool (30mths - School Age),3455 W King Edward Avenue,604-261-4434,info@curiositycornerpreschool.ca,http://www.curiositycornerpreschool.ca/,English,2.5 - 5 yrs,Reggio Inspired,
D'Ace Little Angels Licensed Family Child Care,Licensed Family Child Care,506 West 62nd Avenue,778-329-5683,cetumbaga02@yahoo.ca,,English; Tagalog,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Laurier
Daisy Academy Montessori Preschool,Preschool (30mths - School Age),8886 Hudson Street,778-322-4305,info@daisymontessori.com,,English,2.5 - 5 yrs,Montessori,
Dickens Out Of School Care (School Age Care on School Grounds),Group Care School Age,1010 East 17th Avenue,604-874-4993,kcooper@cedarcottage.org,,English; Spanish; German,5 - 12 yrs,,Dickens Annex
Discover Possibilities,Group Daycare (30mths - School Age),3192 Queens Avenue,604-336-6488,dpcc2202@gmail.com,,English,2.5 - 5 yrs,,
Donguri Preschool,Preschool (30mths - School Age),3214 West 10th Avenue,778-798-1404,donguri.w10th@gmail.com,https://donguripreschool.ca/,English; Japanese,2.5 - 5 yrs,,
